Feature	Gain	Cover	Frequency
mpasivos_margen_lag1	0.00259899857203804	0.00383778388478174	0.00576882551278449
mcomisiones_otras_lag1	0.00239806328944823	0.00149823405087595	0.00421466704130374
cmobile_app_trx	0.00239580610918721	0.0031057979088902	0.00493467266085979
mcuenta_debitos_automaticos	0.00239519093012572	0.00654123912951662	0.00369661421747682
Visa_cconsumos	0.00239029206483773	0.00264165648434415	0.0047766226468109
mcomisiones_mantenimiento_lag1	0.0023759747998632	0.00586161202873095	0.0040478364709188
Master_mlimitecompra	0.0023433264658543	0.00259205654331501	0.00386344478786176
Visa_msaldopesos	0.00233137589509643	0.00333264290201536	0.00520686990727733
Visa_mconsumospesos_delta1	0.00232602231986951	0.0041329840117487	0.00550540882270301
mtransferencias_emitidas	0.00227295213403211	0.00880604192633373	0.00592687552683338
ccomisiones_otras_lag1	0.00220894500668006	0.00460501166007454	0.00440783928069683
mtarjeta_visa_debitos_automaticos_lag1	0.00220058452028434	0.00516063887000289	0.00442540039336892
Visa_mlimitecompra	0.00218321126569316	0.00227143558612653	0.00378441978083731
Visa_mconsumosdolares_lag1	0.00214940176125086	0.00312909930929257	0.00485564765383535
mtransferencias_recibidas_delta1	0.00214830949855168	0.00337649542103995	0.00464491430177016
tcallcenter	0.00210157466862214	0.000931316589296777	0.000948300084293341
mcomisiones_lag1	0.00197970082841799	0.00131549188082447	0.00366149199213262
mtarjeta_visa_debitos_automaticos_delta1	0.00197765404394404	0.00451040553495272	0.00311709749929756
cprestamos_personales	0.00194510457098867	0.00247175080025593	0.00108878898567013
mtransferencias_emitidas_delta1	0.00193112551871716	0.00395135048419547	0.00381076144984546
mcomisiones_otras_delta1	0.00192104801766504	0.00191440009878858	0.00389856701320596
cmobile_app_trx_lag1	0.00190814994172328	0.00340109298141264	0.00420588648496769
Visa_msaldopesos_delta1	0.00190542128775177	0.00288448226926797	0.00351222253441978
mtransferencias_emitidas_lag1	0.00190480410845039	0.00264756240417115	0.00463613374543411
mtarjeta_visa_debitos_automaticos	0.00189155014644145	0.00260376287089205	0.00380198089350941
Master_mlimitecompra_lag1	0.00182324922213892	0.00250712498745189	0.00338929474571509
cproductos_lag1	0.00181797294400199	0.0029081627627713	0.00343319752739534
Visa_mconsumosdolares	0.00177166255368539	0.00269257157445471	0.00375807811182917
mcomisiones_delta1	0.00176481443222136	0.00328607095851616	0.00372295588648497
ccaja_ahorro_delta1	0.00175349362935069	0.00564772771648115	0.000561955605507165
ccallcenter_trx_delta1	0.00174026324445476	0.00295872050537586	0.00135220567575162
mautoservicio	0.00170424601081521	0.00620474151436452	0.0039600309075583
ctarjeta_visa_trx_lag1	0.00170417494593509	0.00562235834062518	0.00388978645686991
mtarjeta_master_consumo	0.0016466031852414	0.00180576477244724	0.00128196122506322
Visa_msaldopesos_lag1	0.00164253437171987	0.00247836215024637	0.00318734194998595
mpayroll_delta1	0.00163971848214698	0.00735826891141994	0.00411808092160719
ctransferencias_recibidas_lag1	0.00161116801512554	0.00255892973273112	0.00382832256251756
Visa_msaldototal_lag1	0.00160463739200949	0.00173439527035686	0.00299416971059286
Visa_msaldototal_delta1	0.00159291995290741	0.00237004542749887	0.00369661421747682
mpagomiscuentas	0.00159198105974206	0.00334112559827677	0.00294148637257657
internet	0.00158652692029109	0.00343609404788936	0.00223904186569261
ctransferencias_recibidas	0.00156671313600941	0.00283974553147346	0.00296782804158471
ccallcenter_trx	0.00153168239225246	0.00687047455820925	0.00270441135150323
ctarjeta_visa_debitos_automaticos_lag1	0.00150509184402909	0.00323449469512206	0.00257270300646249
mtarjeta_visa_consumo_lag1	0.00149609934391278	0.0045091931414644	0.00322246417533015
Visa_cconsumos_delta1	0.00145306473339382	0.0032728413673256	0.0031434391683057
Visa_Finiciomora_lag1	0.00144674456471561	0.00458934755764481	0.000913177858949143
mpagomiscuentas_lag1	0.00136000350825596	0.00388377428675361	0.00288880303456027
Visa_mconsumosdolares_delta1	0.00135902844866556	0.00226532538021724	0.00283611969654397
ccaja_seguridad	0.00131383190527273	0.00338044492644104	0.000711225063220006
mautoservicio_lag1	0.00130011404080997	0.00300774089567157	0.00310831694296151
Master_mpagospesos_lag1	0.00127765420379558	0.00305689336748599	0.00264294745715089
cmobile_app_trx_delta1	0.0012360449818732	0.00299210198444163	0.00292392525990447
ctarjeta_debito_lag1	0.00121624648572935	0.00150301731607837	0.00216879741500421
ctarjeta_debito	0.00121397813609311	0.00152008898636814	0.00229172520370891
Visa_fultimo_cierre_delta1	0.00120101643556409	0.00217233271698665	0.00230928631638101
mtarjeta_visa_consumo_delta1	0.00119255468711242	0.00291513835147741	0.00288002247822422
Master_mpagominimo_lag1	0.0011845265360116	0.00219704206809403	0.00203708906996347
mautoservicio_delta1	0.00114831464617981	0.00470133767799254	0.00300295026692891
ctransferencias_emitidas	0.00113704602868697	0.00486060310464	0.00278343635852768
ctarjeta_debito_trx	0.00113432688932833	0.00152654114941515	0.00273953357684743
Master_msaldopesos	0.00110719574099989	0.00311024028892084	0.00205465018263557
Master_fultimo_cierre_delta1	0.00110227471042548	0.00146398527478844	0.00223904186569261
mcuenta_debitos_automaticos_lag1	0.00110015839619571	0.00198230676801872	0.00229172520370891
ccomisiones_otras_delta1	0.00107155479725393	0.00127896333943942	0.00195806406293903
Master_mpagominimo	0.00106281574436459	0.00394492695795308	0.0023444085417252
Master_mpagospesos	0.00105560834956455	0.00377521476371866	0.00301173082326496
ctarjeta_debito_trx_lag1	0.00102890662090317	0.00362556938920449	0.00313465861196965
Master_msaldototal	0.00100495937545798	0.00286502126344689	0.00209855296431582
ctransferencias_emitidas_lag1	0.000983081976471933	0.00345182017120614	0.00199318628828323
mcomisiones_mantenimiento_delta1	0.000979200301852136	0.00870332545997978	0.00167708626018545
mdescubierto_preacordado_lag1	0.000975174363143786	0.000841334236157961	0.000992202865973588
internet_lag1	0.00093678525590871	0.00267696489877224	0.001598061253161
ctarjeta_visa_trx_delta1	0.000884257309838824	0.00260999941564533	0.00201952795729137
ctarjeta_master	0.000872914393137634	0.000170525356975737	0.000237075021073335
ccaja_seguridad_lag1	0.000859632925968215	0.000655066676376208	0.000289758359089632
Master_mpagospesos_delta1	0.000851549790903872	0.00431422152445277	0.00201952795729137
Master_msaldopesos_lag1	0.00084940919717311	0.0012751406322963	0.00145757235178421
cplazo_fijo	0.00084132555179138	0.00278914513993792	0.000386344478786176
ctransferencias_emitidas_delta1	0.000840490393836592	0.00244887144816148	0.00169464737285754
Master_msaldototal_lag1	0.000837625903672397	0.00199863656130278	0.00207221129530767
mextraccion_autoservicio_lag1	0.000821386825310126	0.00153211659745389	0.00235318909806125
ctransferencias_recibidas_delta1	0.000818505801535254	0.00207985030954779	0.00207221129530767
Master_mconsumospesos_lag1	0.000798220294321237	0.00228756859708996	0.00187903905591458
ctarjeta_debito_trx_delta1	0.000786449047593135	0.00336729113855687	0.00206343073897162
ccajas_consultas_delta1	0.000753451163125809	0.0040558013914549	0.000763908401236302
ctarjeta_visa_debitos_automaticos	0.00075097567281318	0.00154372139454175	0.00164196403484125
mextraccion_autoservicio	0.000740084398748102	0.00187633466450866	0.00172976959820174
Visa_mpagado	0.000719200327528891	0.00237894710930835	0.00164196403484125
mcuenta_debitos_automaticos_delta1	0.00070400775767534	0.00370382887586306	0.00169464737285754
mtarjeta_master_consumo_lag1	0.000684764271379803	0.002240844510995	0.00105366676032593
mextraccion_autoservicio_delta1	0.000683586996219314	0.00322934052970129	0.00173855015453779
ccaja_ahorro_lag1	0.000665083513011162	0.00109643954416555	0.00100098342230964
Master_mfinanciacion_limite_delta1	0.000655311228390471	0.0062032140394562	0.00116781399269458
Master_mconsumospesos	0.000652379658029285	0.00201389745139769	0.00189660016858668
mprestamos_prendarios	0.000638751724169693	0.00666484989673447	0.000702444506883956
Master_status_lag1	0.000616012279520095	0.00211084344847919	0.000360002809778028
ccuenta_debitos_automaticos_lag1	0.000615322603508166	0.0029484460945997	0.00123805844338297
ccuenta_debitos_automaticos	0.000605652694536835	0.00197063604502499	0.00129952233773532
matm_lag1	0.000602589466034524	0.00198958296660453	0.00171220848552964
cpagomiscuentas_lag1	0.000595210309188836	0.00104739541748097	0.00138732790109581
ccomisiones_mantenimiento_lag1	0.000594264867806628	0.0011771437257398	0.000974641753301489
mplazo_fijo_dolares	0.000559734526411319	0.0028960604203451	0.00048293059848272
cpagomiscuentas	0.000559638685359352	0.00199423629422013	0.00129952233773532
thomebanking_lag1	0.000552925443175162	0.000666762207724757	0.00102732509131779
Visa_mpagado_delta1	0.000548584703619732	0.00162704982532815	0.000974641753301489
mplazo_fijo_dolares_delta1	0.000516533867387801	0.00423298740885473	0.000570736161843214
Master_msaldototal_delta1	0.000515605356138487	0.0021185233953828	0.00096586119696544
mpagomiscuentas_delta1	0.000514109803609444	0.00143627671609376	0.0015278168024726
ctarjeta_visa_debitos_automaticos_delta1	0.000498211011445382	0.00206548221395039	0.00080781118291655
cextraccion_autoservicio	0.000498105529118111	0.00131429135553059	0.000948300084293341
Master_mconsumospesos_delta1	0.000493006630619289	0.00178837212492475	0.00122049733071087
Visa_msaldodolares_lag1	0.000491777475614945	0.00134894426278087	0.00139610845743186
matm	0.00048433006939156	0.00130004975191517	0.00145757235178421
Visa_mfinanciacion_limite_delta1	0.000484311448349216	0.00098479076840358	0.000834152851924698
cpayroll_trx_lag1	0.00047064792358093	0.000390373781489778	0.000509272267490868
ccajas_trx_delta1	0.000464116270714417	0.00166691930173124	0.000561955605507165
Visa_mpagosdolares	0.000454217304609622	0.000731317145708359	0.00095708064062939
mttarjeta_master_debitos_automaticos_lag1	0.000435426091587282	0.00178638630800423	0.000825372295588648
ccajas_otras_delta1	0.000427676321565427	0.00147926055985467	0.000228294464737286
Master_msaldopesos_delta1	0.000427522719095048	0.00166870588612323	0.00095708064062939
Master_Fvencimiento_delta1	0.000426484762688949	0.000141978520908939	0.000623419499859511
Master_mpagominimo_delta1	0.000426252536536438	0.00196838813242994	0.00101854453498174
Visa_mpagosdolares_lag1	0.000419069818870246	0.000846592841689767	0.00095708064062939
ccallcenter_trx_lag1	0.000414764511307278	0.00241070769929024	0.000878055633604945
cextraccion_autoservicio_lag1	0.00040696102771557	0.00286878853463665	0.00116781399269458
Visa_mlimitecompra_delta1	0.000383476901822441	0.000591371608221694	0.000781469513908401
Visa_Fvencimiento_delta1	0.00038030770811497	0.000223778021976079	0.000676102837875808
Master_cconsumos	0.000379034140890136	0.00143946566165404	0.000904397302613094
matm_delta1	0.000376739148538142	0.000945364703058395	0.00108878898567013
thomebanking_delta1	0.000370976985331855	0.000950095901343293	0.000693663950547907
catm_trx_lag1	0.000370485237000693	0.00245561089808283	0.00109756954200618
tpaquete7	0.000366332764312559	0.00119457634227839	0.000210733352065187
cprestamos_personales_lag1	0.000361992154360065	0.000758231301065836	0.000491711154818769
Visa_mpagado_lag1	0.000360655771247001	0.00119729791068491	0.00080781118291655
tcallcenter_lag1	0.000355601955264279	0.00103605478343054	0.000465369485810621
mtarjeta_master_consumo_delta1	0.000353645836957313	0.00283461900746037	0.000825372295588648
catm_trx	0.000353463232720805	0.00232709358957843	0.000834152851924698
ctarjeta_master_trx_lag1	0.000352172849150857	0.000560101595799461	0.000412686147794324
mttarjeta_master_debitos_automaticos	0.000339968819157644	0.0029643188475445	0.000702444506883956
ctarjeta_master_trx	0.000339629244737013	0.00271639938670703	0.00105366676032593
Master_cconsumos_lag1	0.000334128208199453	0.000976918863026109	0.000930738971621242
tmobile_app	0.000322977103751881	0.000188085843738243	0.000658541725203709
mcaja_ahorro_adicional_lag1	0.000313138270453938	0.00485688866605773	0.000755127844900253
tcuentas_lag1	0.000299106906656784	0.00447424130885234	0.000570736161843214
Visa_mconsumototal	0.000291086470855482	0.000273979795316577	0.000632200056195561
Master_cconsumos_delta1	0.000288959296980278	0.00100627756016128	0.000684883394211857
