fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 212218	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	563	TRUE	0.0103683574765425	0.436072269658232	2477	765	0.0135123471391966	13356000	51
20220521 212537	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	342	TRUE	0.0162189999206244	0.454991290464377	2614	752	0.0141801480353881	13137000	52
20220521 213128	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	675	TRUE	0.0100096290577119	0.422554928833967	2285	462	0.0127709380564815	12990000	53
20220521 213642	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	758	TRUE	0.0101042961568818	0.36627061070438	3896	1023	0.00880979405513626	11730000	54
20220521 214217	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	931	TRUE	0.0102289767755921	0.33991723907528	4208	454	0.0170040974867631	13037000	55
20220521 214728	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	643	TRUE	0.0100193765823283	0.289455467971267	2230	831	0.016377615642821	13141000	56
20220521 215217	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	614	TRUE	0.0100970946625599	0.445048531329416	4605	850	0.0133643535681603	13036000	57
20220521 215234	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	16	TRUE	0.2534597887325	0.200653019096068	7593	158	0.00846605486794984	11194000	58
20220521 215633	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	474	TRUE	0.0105952700315874	0.470932355481391	5410	364	0.0243450767339673	12229000	59
20220521 220115	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	606	TRUE	0.0100924401192437	0.590579773632363	3979	821	0.015886793949237	13125000	60
20220521 220652	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	927	TRUE	0.0102681942584267	0.44329748731206	6516	643	0.0192862727893001	12960000	61
20220521 220827	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	216	TRUE	0.018490130154005	0.782786289219592	2444	18	0.0187505549300422	13069000	62
20220521 220855	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	57	TRUE	0.105329114111916	0.664290598599559	7999	346	0.0150777215470701	12820000	63
20220521 221403	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	571	TRUE	0.0103576771616488	0.40807793771043	2391	393	0.0195718455190691	12969000	64
20220521 221547	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	237	TRUE	0.0320706994250963	0.590939199440903	4948	812	0.0184714211688351	13008000	65
