fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220601 230848	0	0	0	1	hist	lossguide	256	0	1	0.0100386083702343	0.87251005565684	10	10	0.0169302187883395	314	13161000	56
20220601 231123	0	0	0	1	hist	lossguide	256	0	1	0.0108548769651744	0.208495812257392	10	2	0.0141564312248918	899	12685000	57
20220601 231155	0	0	0	1	hist	lossguide	256	0	1	0.175051070659468	0.26178835027893	10	2	0.0174948023473016	163	13264000	58
20220601 231341	0	0	0	1	hist	lossguide	256	0	1	0.0356001765467553	0.363951804591598	10	2	0.0179192516852036	724	13191000	59
20220601 231445	0	0	0	1	hist	lossguide	256	0	1	0.0439649462686679	0.200009224617352	10	524	0.018906458024722	78	12089000	60
20220601 231517	0	0	0	1	hist	lossguide	256	0	1	0.278526126814273	0.376535417095256	9	2	0.0158981549462219	118	13275000	61
20220601 231541	0	0	0	1	hist	lossguide	256	0	1	0.245300779800938	0.441433951643323	10	2	0.0156008010123386	107	12873000	62
20220601 231746	0	0	0	1	hist	lossguide	256	0	1	0.0302406406144046	0.7719354104411	10	2	0.0134575833638873	882	12870000	63
20220601 231810	0	0	0	1	hist	lossguide	256	0	1	0.299043425479412	0.31684864811796	10	159	0.0163201318046161	11	11674000	64
20220601 232002	0	0	0	1	hist	lossguide	256	0	1	0.0198028890151241	0.890659778900825	10	409	0.0137677592130032	114	13329000	65
20220601 232121	0	0	0	1	hist	lossguide	256	0	1	0.0260708384600032	0.63937221304347	10	608	0.0137671036106422	55	13303000	66
20220601 232345	0	0	0	1	hist	lossguide	256	0	1	0.0113259666108326	0.632584273084579	10	1023	0.0115562507937452	65	12721000	67
20220601 232637	0	0	0	1	hist	lossguide	256	0	1	0.0116060627501946	0.672392854239396	10	801	0.0122771352940546	204	13010000	68
20220601 232702	0	0	0	1	hist	lossguide	256	0	1	0.294042489869146	0.20227492796636	8	2	0.0100094990873848	71	12360000	69
20220601 232743	0	0	0	1	hist	lossguide	256	0	1	0.0817632389817227	0.603498486886965	10	2	0.0137636999982859	220	12991000	70
20220601 232817	0	0	0	1	hist	lossguide	256	0	1	0.291470186267005	0.89118397890185	10	2	0.0133251763459867	203	13095000	71
20220601 233152	0	0	0	1	hist	lossguide	256	0	1	0.0101288496413072	0.632143282550469	6	622	0.0125797230281815	198	13412000	72
20220601 233254	0	0	0	1	hist	lossguide	256	0	1	0.056313180138019	0.201471003106316	10	2	0.0189747672665702	404	12999000	73
20220601 233559	0	0	0	1	hist	lossguide	256	0	1	0.0106992476061946	0.581003340415703	8	678	0.0130116933622892	182	13113000	74
20220601 233940	0	0	0	1	hist	lossguide	256	0	1	0.0100079609474766	0.88861679190528	6	122	0.0129977019984468	191	12972000	75
20220601 234314	0	0	0	1	hist	lossguide	256	0	1	0.0101730050954621	0.630424351621092	5	1010	0.0152994378244495	144	12923000	76
20220601 234654	0	0	0	1	hist	lossguide	256	0	1	0.0100358430125705	0.646627414553613	5	504	0.0137496618953026	165	12728000	77
20220601 234953	0	0	0	1	hist	lossguide	256	0	1	0.0103361784247852	0.616251123656682	5	1010	0.00840354268965704	47	12437000	78
20220601 235107	0	0	0	1	hist	lossguide	256	0	1	0.0364577183232089	0.382685054493074	7	1023	0.0168947957160194	59	12899000	79
20220601 235318	0	0	0	1	hist	lossguide	256	0	1	0.0170196877749809	0.848196687414988	10	944	0.0178176851397252	163	12826000	80
20220601 235644	0	0	0	1	hist	lossguide	256	0	1	0.0101550623567903	0.63136951521642	7	904	0.0168026431240635	201	12829000	81
20220602 002655	0	0	0	1	hist	lossguide	256	0	1	0.0100869615965514	0.999829938716194	0	1023	0.011981035263763	137	1569000	82
20220602 002919	0	0	0	1	hist	lossguide	256	0	1	0.0100487528923473	0.874249032492515	3	2	0.0120990596781656	683	12104000	83
20220602 003018	0	0	0	1	hist	lossguide	256	0	1	0.0484841052892863	0.494155911817425	6	919	0.0125585203535985	37	12606000	84
20220602 003131	0	0	0	1	hist	lossguide	256	0	1	0.0341474453407012	0.200757720612073	10	1023	0.0171944024201679	83	12896000	85
20220602 003312	0	0	0	1	hist	lossguide	256	0	1	0.0481834085104648	0.217718276999123	8	2	0.0170189293467464	732	13529000	86
20220602 003636	0	0	0	1	hist	lossguide	256	0	1	0.0107637774351053	0.200739177866499	6	1022	0.0153015486544408	221	13310000	87
20220602 003741	0	0	0	1	hist	lossguide	256	0	1	0.042292371103641	0.200363388297613	8	1024	0.0169765452133804	68	12557000	88
20220602 003833	0	0	0	1	hist	lossguide	256	0	1	0.139310142117905	0.999919817856287	10	2	0.0162839894608023	299	13222000	89
20220602 003904	0	0	0	1	hist	lossguide	256	0	1	0.123579509664306	0.202089698705695	9	2	0.0160496459898661	145	13287000	90
20220602 003933	0	0	0	1	hist	lossguide	256	0	1	0.152829292008057	0.891483002501988	10	623	0.0170084163007815	12	12078000	91
