experimento	fecha	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT9310_3L	20220619 145100	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0513853794261512	0.771242187963646	975	4349	0.823088463889582	0.892475292902568	0.121612573020626	0.851211947298703	311	0.100025283966319	10568	14392000	96
HT9310_3L	20220619 145141	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0868232431117543	0.884900665201719	142	5163	0.763689012318318	0.965644502512965	0.129874154734925	0.185892558838974	152	0.137739568440915	8020	13220000	97
HT9310_3L	20220619 145207	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.239948858888363	0.862875708089233	941	4667	0.843538684172505	0.793912594244969	0.450796867806241	0.974541857832065	63	0.135624315816705	8350	12890000	98
HT9310_3L	20220619 145247	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0849502516364546	0.596526798929829	169	4323	0.567940808928921	0.634793324485801	0.13853673760714	0.678291199508335	260	0.109236983218207	9384	14136000	99
HT9310_3L	20220619 145320	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0677277632335201	0.191349377927207	338	1199	0.529598697895925	0.835623669722411	0.128890250575738	0.337912577297096	433	0.0593131860470977	10488	14232000	100
HT9310_3L	20220619 145441	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0477522450691275	0.567534229925484	914	7708	0.810462318507121	0.399034333756529	0.339531039509214	0.625594628307526	1017	0.0793433966115141	11448	14352000	101
HT9310_3L	20220619 145505	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.278833947712406	0.582342836566805	364	6805	0.780653094571908	0.96774361653531	0.468668560701101	0.807505273694103	109	0.111482208268112	9916	13724000	102
HT9310_3L	20220619 145522	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.222794144344022	0.372387575059291	771	5713	0.512940632128781	0.747088162452541	0.338418285405349	0.406772731350013	67	0.110669366601744	10416	13464000	103
HT9310_3L	20220619 145608	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0866990589722831	0.967577309002397	222	4324	0.549244834804512	0.9527390502417	0.13687653936321	0.866223082980434	255	0.0808048148155466	11602	15038000	104
HT9310_3L	20220619 145654	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0898670591426509	0.914181859320254	526	4315	0.543900969525409	0.277116014086317	0.0217308031700969	0.725321221563084	259	0.120027251949968	8618	13822000	105
