fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220601 211607	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	70	TRUE	200213	0.173627819975914	0.222895108308857	1465	1024	0.00838446396968761	11236000	74
20220601 211615	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	33	TRUE	200213	0.181292606778074	0.761495595744188	7393	16	0.0170470287009228	12879000	75
20220601 211752	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	492	TRUE	200213	0.0100019848770379	0.484480880006356	5237	643	0.0171387394154384	13273000	76
20220601 211951	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	766	TRUE	200213	0.0100140825855387	0.480319573661697	5797	658	0.0224496771300184	12674000	77
20220601 212118	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	465	TRUE	200213	0.0100862631823128	0.597169368368235	3506	628	0.0165175720131873	13361000	78
20220601 212232	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	513	TRUE	200213	0.0101061876387597	0.938162357192419	3666	34	0.0172272902519501	13303000	79
20220601 212401	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	403	TRUE	200213	0.0100914585608282	0.366244631963789	2548	1015	0.0174866247337917	13133000	80
20220601 212417	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	104	TRUE	200213	0.0572326787058455	0.811345174603415	7669	17	0.0139161716822116	12980000	81
20220601 212435	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	151	TRUE	200213	0.0624722211974209	0.997482746172392	7770	1021	0.0105363809021178	12180000	82
20220601 212455	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	85	TRUE	200213	0.0706850467854925	0.422510328456132	7642	17	0.0175099800030082	13263000	83
20220601 212510	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	61	TRUE	200213	0.117215506289642	0.428447909571655	8000	106	0.0271982579796507	11412000	84
20220601 212548	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	188	TRUE	200213	0.0361278762223152	0.431278599625698	3698	675	0.0177059014962229	13478000	85
20220601 212713	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	424	TRUE	200213	0.0118380989895736	0.575885363640889	3614	893	0.0176601216154784	13370000	86
20220601 212855	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	412	TRUE	200213	0.0103786001457447	0.509646231214354	2928	669	0.0172426484538488	13278000	87
20220601 213020	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	482	TRUE	200213	0.0113479617331153	0.352639493821524	3761	594	0.0179505450509146	13355000	88
20220601 213045	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	128	TRUE	200213	0.0546718109853428	0.366453624690824	5006	1024	0.0178910170678682	13194000	89
20220601 213148	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	108	TRUE	200213	0.0101312627543996	0.277992161979537	1662	1024	0.0123806248786836	12815000	90
20220601 213314	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	325	TRUE	200213	0.0106416660078655	0.390182365241513	1845	966	0.0168057019388698	13307000	91
20220601 213329	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	51	TRUE	200213	0.109661443631403	0.389933467817117	5582	801	0.0175387476613609	12898000	92
20220601 213440	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	461	TRUE	200213	0.010075223760505	0.761145225505371	3260	580	0.016886942742031	13324000	93
20220601 213636	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	649	TRUE	200213	0.0101889382321561	0.535685960985895	3658	730	0.0168059017720638	13568000	94
20220601 213646	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	29	TRUE	200213	0.299691400656221	0.20981657311285	3666	746	0.017549451409558	11250000	95
20220601 213745	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	217	TRUE	200213	0.0131310512103922	0.754817157684192	1540	567	0.0153380992337564	13096000	96
20220601 213945	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	543	TRUE	200213	0.0101555258626348	0.438613097458899	1892	257	0.0161630883630405	13186000	97
20220601 214004	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	68	TRUE	200213	0.0669534214091612	0.549008445753506	7381	297	0.017368592285713	13101000	98
20220601 214041	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	246	TRUE	200213	0.0258934095548497	0.243313907679138	7995	908	0.0168791001782423	12776000	99
